,,,,,,,,,,,,,,,,
автор,втора,отвар,рвота,тавро,товар
аборт,борат,обрат,табор,торба
аскет,секта,сетка,стека,тесак
капор,копра,парок,порка,ропак
клоун,колун,кулон,лукно,уклон
опростить,отпросить,поострить,построить,стопорить
отсечка,сеточка,стоечка,тесачок,чесотка
адски,кидас,садик,сидка
алкать,каталь,лакать,талька
арак,арка,кара,рака
бодрить,бродить,добрить,дробить
допивать,повадить,повидать,подавить
допиваться,повадиться,повидаться,подавиться
дотирать,отдарить,отдирать,отдраить
забурить,зарубить,изрубать,изубрать
задориться,зародиться,изодраться,раздоиться
камса,макса,маска,самка
кастор,костра,строка,торакс
кафельный,кефальный,факельный,фекальный
колоть,локоть,отколь,только
корсет,окрест,сектор,стокер
корсетный,окрестный,секторный,стокерный
лапоть,лопать,пальто,поталь
нартовый,натровый,отравный,товарный
опрос,порос,просо,сопор
опроститься,отпроситься,построиться,стопориться
отпор,порто,ропот,топор
портик,портки,приток,тропик
растить,ристать,старить,стирать
рост,сорт,торс,трос
авран,варан,навар
засчитать,зачастить
затаврить,затравить
затёк,тёзка
заток,отказ
затомить,измотать
затомиться,измотаться
заторкать,разоткать
заточка,зачаток
заучить,изучать
заявить,изваять
зваться,связать
зверушка,резвушка
земно,мезон
зенитка,казинет
зерно,резон
злеть,лезть
знавать,назвать
знамя,мазня
зодиак,озадки
золить,озлить
золотарник,разнотолки
золотить,отзолить
зубоскал,скалозуб
зуда,узда
зудень,уздень
зыбить,избыть
зыбиться,избыться
игла,лига
иголка,логика
игра,рига
избавить,избивать
избавиться,избиваться
избродить,издробить
изволить,изловить
излазить,излизать
изламывать,измалывать
изламываться,измалываться
измерить,ремизить
измолачивать,измочаливать
измолачиваться,измочаливаться
измолоть,мозолить
изнанка,нанизка
изнурить,изринуть
изображать,разобижать
изовраться,изорваться
изолированный,розанилиновый
икнуть,кинуть
икнуться,кинуться
икона,инока
иконка,кокаин
икс,иск
иктус,сутки
ил,ли
импорт,притом
ин,ни
инок,кино
иностранец,станционер
иностранка,санаторник
интриган,нитрагин
инфаркт,франтик
ион,они
иприт,пирит
ипсилон,исполин
иракский,каирский
ирландка,кардинал
искать,сикать
исклевать,склеивать
исколоться,колоситься
ископать,поискать
искоренять,корениться
искра,риска
искрашивать,исшаркивать
искрашиваться,исшаркиваться
искровой,рисковой
испарять,париться
исповедать,подсеивать
исполать,посалить
исполнять,полниться
испольный,посильный
испуг,пигус
иссверлить,свиристель
исстрогать,состригать
истаять,таиться
истлеть,стелить
истмат,мастит
исток,стоик
истопник,синоптик
исторгать,остригать
исторгаться,остригаться
источить,очистить
источиться,очиститься
истрепать,притесать
истрёпывать,притёсывать
истукан,туниска
истфак,фактис
исцелять,целиться
исчерпать,причесать
исчерпаться,причесаться
исчислять,числиться
иттрий,тритий
йот,той
кабельтов,обклевать
кадить,кидать
казуальность,каузальность
казуальный,каузальный
каик,кика
каинит,кианит
кайла,лайка
кайловый,лайковый
како,кока
каков,ковка
каково,оковка
какой,койка
кал,лак
калам,малка
каламин,малинка
каламит,тамилка
калач,чалка
кали,кила
каловый,лаковый
калуга,кулага
камеральный,карамельный
камерон,марокен
камыш,мышка
канатник,накатник
канатный,накатный
канатчик,накатчик
кандиль,льдинка
канитель,наклеить
канкроид,кинокадр
канна,нанка
кант,танк
кануть,нукать
канцер,кранец
кап,пак
капер,репка
каперный,пекарный
каперский,пекарский
каплун,плакун
капок,копка
капонир,опарник
каприз,приказ
капризный,приказный
каптал,плакат
каптёр,трёпка
капюшон,понюшка
караван,наварка
карбонит,работник
карга,крага
каре,река
карелка,лекарка
карета,ракета
каретка,ракетка
кариес,секира
каркас,краска
карлица,лакрица
кармазин,разминка
карповый,парковый
картер,кратер
картечь,черкать
карча,чарка
каршуни,крушина
касторка,красотка
катанка,накатка
катать,такать
катерна,ранетка
каторга,рогатка
каупер,укрепа
кафель,кефаль
кафельщик,факельщик
кафр,фрак
кацап,цапка
кашне,шнека
кашуб,шубка
каюк,юкка
кварта,травка
квасок,сковка
квота,таков
кедрач,чердак
кельт,клеть
кенотаф,конфета
кепи,пике
керамзит,маркизет
керамзитовый,маркизетовый
керн,крен
кесарь,секарь
кил,лик
кило,коли
кимограф,микрофаг
киноварный,раковинный
киприот,тропики
кирза,разик
кисельный,лысенький
кисловатый,ластиковый
кисломолочный,молочнокислый
киснуть,скинуть
кисочка,косичка
киста,такси
кит,тик
китара,ракита
китель,клеить
китовый,тиковый
кишлак,шкалик
кишмя,мякиш
клапан,планка
клещ,щелк
клещи,лещик
клёш,шёлк
клиент,летник
клико,оклик
клитор,ликтор
клише,лишек
клобук,клубок
клоп,полк
клопиный,пониклый
клоповник,полковник
клотик,отклик
кнастер,накрест
книжонка,накожник
книзу,узник
княжата,натяжка
кобура,уборка
коварный,крановый
кожан,ножка
кожимит,отжимки
козни,низок
кокора,окорка
кокос,косок
кокс,скок
колебать,облекать
колебаться,облекаться
колер,креол
колесник,лексикон
колесо,оселок
колит,толки
колленхима,меланхолик
колоб,лобок
колоквинт,толковник
колон,локон
колос,сокол
колотье,околеть
колтун,толкун
колчан,лончак
кольцо,цоколь
коляска,ясколка
комар,корма
комендор,недокорм
комингс,смокинг
комок,мокко
компостер,термоскоп
кон,нок
кондор,кордон
конечный,конченый
коновал,наволок
контур,котурн
конус,сукно
конусный,суконный
концентрат,концертант
копал,полка
копануть,понукать
копач,почка
копуша,опушка
корить,кроить
кормач,корчма
корн,крон
корнистый,кронистый
короб,оброк
коротать,рокотать
корпус,прокус
корча,рачок
корчи,чирок
коршун,шнурок
корысть,сокрыть
косина,осинка
косинус,соусник
космы,мысок
косность,носкость
костерить,окрестить
костёл,слёток
костный,скотный
костровый,ростковый
котильон,ниотколь
кочан,ночка
кочегар,кочерга
кочкари,очкарик
кош,шок
кошерный,крошеный
краля,ракля
краник,кринка
крапление,пелеринка
краситель,расклеить
красоваться,расковаться
крат,трак
краше,решка
креозот,отрезок
крепнуть,крупнеть
крест,треск
крести,рексит
крестовый,тресковый
крикет,тиккер
крин,ринк
критикан,ракитник
кричать,чиркать
кровеносный,сокровенный
кроки,окрик
крокодилов,кроликовод
кролист,ликтрос
кроновый,норковый
кропание,пионерка
кротовина,тонировка
крутка,куртка
крушить,шкурить
крыса,рысак
кряду,рудяк
ксилема,месилка
кукан,кунак
кукла,кулак
кукушкин,кукушник
кулан,лунка
кума,мука
купа,паук
купля,пукля
купчина,паучник
кура,рука
курва,рукав
куроводство,руководство
куролесить,ускоритель
курсант,струнка
кус,сук
куст,стук
кустарь,украсть
кут,тук
кутас,скаут
кутаться,тукаться
кутила,улитка
кучер,чурек
куща,щука
кюрий,юркий
ладанка,наладка
ладить,тильда
ладно,ландо
ладошка,лошадка
лакей,лейка
лакуна,уланка
ламут,мулат
ламутка,мулатка
ламутский,мулатский
ланита,талина
лапка,палка
лапотник,платоник
лапочка,палочка
лапта,плата
лапушка,плакуша
ласочка,салочка
ластик,стилка
ласточкин,ласточник
латинист,сталинит
латыш,талыш
латышка,талышка
латышский,талышский
лаять,талья
леер,реле
леечный,леченый
лежак,лекаж
лекарство,стекловар
лектура,рулетка
ленч,член
ленчик,членик
лепесток,телескоп
лепет,петел
лепка,плаке
лесище,селище
лесопарк,пролеска
лесопромышленник,солепромышленник
лесопромышленность,солепромышленность
лесопромышленный,солепромышленный
лесоразработки,солеразработки
лесоферма,лосеферма
лето,тело
лечо,чело
